FID,DESA,KODE,KECAMATAN,KABUPATEN,PROPINSI,STATUS_IDT,STATUS_KOT,STATUS_HUK,SUMBER_AIR,IDT_94_95,IDT_95_96,KLASIFIKAS,TERMASUK_D,LUAS_WILAY,SUMBER_PEN,SUB_SEKTOR,KEMATIAN_B,KEMATIAN,BANYAKNYA_
0,Jangkaran, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3656,Pertanian,Tanaman Pangan,0,7,0
1,Sindutan, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2979,Pertanian,Tanaman Pangan,0,12,0
2,Palihan, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3587,Pertanian,Tanaman Pangan,0,18,0
3,Glagah, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,6040,Pertanian,Tanaman Pangan,0,7,0
4,Kali Dengeng, ,Temon,Kulon Progo,DI. Yogya,IDT,Desa,Definitif,4,IDT,IDT,Swasembada,Dataran Rendah,1508,Pertanian,Tanaman Pangan,0,6,0
5,Plumbon, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3037,Pertanian,Tanaman Pangan,1,5,0
6,Kedundang, ,Temon,Kulon Progo,DI. Yogya,IDT,Desa,Definitif,4,IDT,IDT,Swasembada,Dataran Rendah,1390,Pertanian,Tanaman Pangan,0,14,0
7,Demen, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,975,Pertanian,Tanaman Pangan,0,5,0
8,Kulur, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2797,Pertanian,Tanaman Pangan,0,12,0
9,Kaligintung, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2187,Pertanian,Tanaman Pangan,1,14,0
10,Temon Wetan, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2227,Pertanian,Tanaman Pangan,0,9,0
11,Temon Kulon, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,1557,Pertanian,Tanaman Pangan,0,5,0
12,Kebonrejo, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,1724,Pertanian,Tanaman Pangan,0,18,0
13,Janten, ,Temon,Kulon Progo,DI. Yogya,IDT,Desa,Definitif,4,IDT,IDT,Swasembada,Dataran Rendah,1331,Pertanian,Tanaman Pangan,0,15,0
14,Karang Wuluh, ,Temon,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,1296,Pertanian,Tanaman Pangan,0,8,0
15,Karang Wuni, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,7223,Pertanian,Tanaman Pangan,0,31,0
16,Sogan, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2505,Pertanian,Tanaman Pangan,0,18,0
17,Kulwaru, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2517,Pertanian,Tanaman Pangan,0,6,0
18,Ngestiharjo, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2556,Pertanian,Tanaman Pangan,0,38,0
19,Triharjo, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,4819,Pertanian,Tanaman Pangan,0,33,0
20,Bendungan, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Kota,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3414,Pertanian,Tanaman Pangan,0,29,0
21,Giri Peni, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,4686,Pertanian,Tanaman Pangan,2,49,0
22,Wates, ,Wates,Kulon Progo,DI. Yogya,Non IDT,Kota,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,4282,Perdagangan, ,2,148,0
23,Garongan, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,6239,Pertanian,Tanaman Pangan,3,24,0
24,Pleret, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,6463,Pertanian,Tanaman Pangan,0,11,0
25,Bugel, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,6423,Pertanian,Tanaman Pangan,2,22,0
26,Kanoman, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2361,Pertanian,Tanaman Pangan,0,21,0
27,Depok, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2827,Pertanian,Tanaman Pangan,0,19,0
28,Bojong, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3703,Pertanian,Tanaman Pangan,0,24,0
29,Tayuban, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2203,Pertanian,Tanaman Pangan,1,9,0
30,Gotakan, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3550,Pertanian,Tanaman Pangan,0,18,0
31,Panjatan, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Kota,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,1117,Pertanian,Tanaman Pangan,0,3,0
32,Cerme, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,3791,Pertanian,Tanaman Pangan,2,4,0
33,Krembangan, ,Panjatan,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,5915,Pertanian,Tanaman Pangan,0,16,0
34,Karang Sewu, ,Galur,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,9262,Pertanian,Tanaman Pangan,0,27,0
35,Banaran, ,Galur,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,9072,Pertanian,Tanaman Pangan,0,35,0
36,Kranggan, ,Galur,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,2388,Pertanian,Tanaman Pangan,0,10,0
37,Nomporejo, ,Galur,Kulon Progo,DI. Yogya,Non IDT,Desa,Definitif,4,Non IDT,Non IDT,Swasembada,Dataran Rendah,1909,Pertanian,Tanaman Pangan,0,12,0
